cnuc	UC	AAF	ANO	
0000.00.0168	PARNA do Araguaia	277.808,40	2012	
0000.00.0076	ESEC Serra Geral do Tocantins	251.539,10	2012	
0000.00.0156	PARNA das Nascentes do Rio Parnaíba	153.878,60	2012	
0000.00.0144	PARNA da Serra da Canastra	88.365,50	2012	
0000.00.0024	APA Meandros do Araguaia	82.626,40	2012	
0000.00.0065	ESEC de Uruçui-Una	65.507,60	2012	
0000.00.0169	PARNA do Cabo Orange	37.480,90	2012	
0000.00.1633	PARNA Mapinguari	22.460,50	2012	
0000.00.0161	PARNA de Ilha Grande	17.689,70	2012	
0000.00.0183	PARNA Grande Sertão Veredas	17.043,50	2012	
0000.00.0272	PARNA da Chapada das Mesas	16.956,90	2012	
0000.00.0025	APA das Ilhas e Várzeas do Rio Paraná	14.447,00	2012	
0000.00.0266	FLONA do Jamanxim	14.298,70	2012	
0000.00.0209	REBIO do Lago Piratuba	14.056,80	2012	
0000.00.0206	REBIO do Guaporé	12.034,80	2012	
0000.00.0155	PARNA das Emas	10.136,90	2012	
0000.00.0284	PARNA dos Campos Amazônicos	9.336,50	2012	
0000.00.0137	PARNA da Chapada Diamantina	6.963,60	2012	
0000.00.0148	PARNA da Serra do Cipó	6.649,10	2012	
0000.00.0139	PARNA da Chapada dos Veadeiros	6.279,70	2012	
0000.00.0163	PARNA de Pacaás Novos	6.127,70	2012	
0000.00.0216	REBIO Nascentes da Serra do Cachimbo	3.892,40	2012	
0000.00.0116	FLONA do Bom Futuro	3.543,30	2012	
0000.00.0083	FLONA de Altamira	3.389,30	2012	
0000.00.0047	ESEC da Terra do Meio	2.136,90	2012	
0000.00.1564	RESEX Chapada Limpa	2.100,00	2012	
0000.00.0138	PARNA da Chapada dos Guimarães	1.903,40	2012	
0000.00.0286	RESEX de Recanto das Araras de Terra Ronca	1.680,10	2012	
0000.00.0260	RESEX Verde Para Sempre	1.397,40	2012	
0000.00.0027	APA Morro da Pedreira	1.107,70	2012	
0000.00.1612	FLONA do Iquiri	1.104,20	2012	
0000.00.0160	PARNA de Caparaó	710,4	2012	
0000.00.0175	PARNA do Pantanal Mato-Grossense	673	2012	
0000.00.0053	ESEC de Cuniã	672,8	2012	
0000.00.0268	APA do Tapajós	598,9	2012	
0000.00.0267	PARNA do Jamanxim	380,1	2012	
0000.00.1810	RESEX Renascer	294,6	2012	
0000.00.0208	REBIO do Jaru	112,6	2012	
0000.00.0219	REVIS das Veredas do Oeste Baiano	99,3	2012	
0000.00.0076	ESEC Serra Geral do Tocantins	192.624,90	2013	
0000.00.0156	PARNA das Nascentes do Rio Parnaíba	163.208,50	2013	
0000.00.0168	PARNA do Araguaia	140.009,00	2013	
0000.00.0272	PARNA da Chapada das Mesas	34.850,90	2013	
